kpi_id,project_id,metric_name,direction,target_value,actual_value,unit,reporting_cadence,data_source,validation_status,last_updated
K001,P001,Records passing QA,higher_is_better,90,88,percent,Weekly,Synthetic CRM QA output,Validated,2026-07-18
K002,P001,Exception queue rate,lower_is_better,20,24,percent,Weekly,Synthetic exception log,Review Required,2026-07-18
K003,P002,Priority pages indexed,higher_is_better,85,79,percent,Weekly,Synthetic search index report,Validated,2026-07-18
K004,P002,Search content completion,higher_is_better,75,68,percent,Weekly,Synthetic content tracker,Validated,2026-07-18
K005,P003,Forms with source capture,higher_is_better,100,72,percent,Weekly,Synthetic form QA,Review Required,2026-07-18
K006,P003,Unverified conversions,lower_is_better,8,14,count,Weekly,Synthetic attribution audit,Review Required,2026-07-18
K007,P004,Work orders categorized,higher_is_better,95,61,percent,Biweekly,Synthetic operations extract,Pending,2026-07-18
K008,P004,Records missing documentation,lower_is_better,15,26,percent,Biweekly,Synthetic documentation audit,Pending,2026-07-18
K009,P005,Eligible records processed,higher_is_better,100,100,percent,Monthly,Synthetic outreach log,Validated,2026-06-30
K010,P005,Duplicate outreach rate,lower_is_better,2,0,percent,Monthly,Synthetic suppression log,Validated,2026-06-30
K011,P006,Delivery records reconciled,higher_is_better,98,94,percent,Weekly,Synthetic vendor delivery file,Validated,2026-07-18
K012,P006,Responses with source attribution,higher_is_better,90,58,percent,Weekly,Synthetic response tracker,Review Required,2026-07-18
K013,P007,Suppression compliance,higher_is_better,100,100,percent,Weekly,Synthetic outreach control log,Validated,2026-07-18
K014,P007,Follow-ups sent on schedule,higher_is_better,90,83,percent,Weekly,Synthetic follow-up tracker,Validated,2026-07-18
K015,P008,Conversions classified,higher_is_better,100,67,percent,Weekly,Synthetic paid media audit,Review Required,2026-07-18
K016,P008,Behavior-only events remaining,lower_is_better,10,28,percent,Weekly,Synthetic event taxonomy,Pending,2026-07-18
K017,P009,Vendors scored,higher_is_better,8,8,count,Monthly,Synthetic vendor scorecard,Validated,2026-06-20
K018,P009,High-risk gaps unresolved,lower_is_better,0,0,count,Monthly,Synthetic risk register,Validated,2026-06-20
K019,P010,Projects represented,higher_is_better,12,12,count,Weekly,Synthetic project register,Validated,2026-07-18
K020,P010,KPIs with assigned owners,higher_is_better,100,92,percent,Weekly,Synthetic KPI register,Review Required,2026-07-18
K021,P011,Model-ready records,higher_is_better,80,42,percent,Biweekly,Synthetic modeling dataset,Pending,2026-07-18
K022,P011,Features passing validation,higher_is_better,90,55,percent,Biweekly,Synthetic feature QA,Pending,2026-07-18
K023,P012,Content items completed,higher_is_better,20,14,count,Weekly,Synthetic editorial calendar,Validated,2026-07-18
K024,P012,Items returned for revision,lower_is_better,3,4,count,Weekly,Synthetic approval log,Review Required,2026-07-18
